ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
AND,Andorra,Europe,,80856,3785065525,0.4546792805194855,0.41809800267219543,6.5166544914245605,,,,,2024,Supabase
TTO,Trinidad and Tobago,Americas,,1367510,25036993423,41.88539123535156,35.5359001159668,27.987285614013672,0.105,,,,2024,Supabase
SRB,Serbia,Europe,,6623183,81343999280,47.435855865478516,42.907318115234375,6.403093338012695,34.695,,,,2024,Supabase
GBR,United Kingdom,Europe,,68492000,3420796653789,329.24591064453125,307.8261413574219,5.628915309906006,47.328,,0.298,0.695,2024,Supabase
RUS,Russia,Europe,,143826130,2036489935386,2181.84814453125,1733.1346435546875,18.378408432006836,17.747,,0.37,0.4,2024,Supabase
HKG,Hong Kong,Asia,,7536100,381043026174,38.51189041137695,32.957054138183594,5.181136608123779,0.956,,,,2024,Supabase
ESH,Western Sahara,Africa,,600904,,,,,0,,,,2024,Supabase
URY,Uruguay,Americas,,3388081,77991666838,12.695549011230469,7.62693977355957,11.774551391601562,92.003,,,,2024,Supabase
BRB,Barbados,Americas,,282336,7223250000,1.465204119682312,1.3167330026626587,5.293061256408691,8.182,,,,2024,Supabase
PSE,Palestine,Asia,,5165775,17847900000,,4.7553582191467285,,33.333,,,,2024,Supabase
MEX,Mexico,Americas,,129739759,1798317581487,548.3052978515625,458.25384521484375,4.882774353027344,21.499,,0.395,0.41,2024,Supabase
MWI,Malawi,Africa,,21104482,13363669673,6.018246650695801,1.8525680303573608,1.2196598052978516,95.628,,,,2024,Supabase
ATA,Antarctica,Antarctic,,1300,,,0,,,,,,2024,Supabase
NCL,New Caledonia,Oceania,,289870,9769167530,,5.068005084991455,16.7820057267051,26.214,,,,2024,Supabase
SJM,Svalbard and Jan Mayen,Europe,,2530,,,,,,,,,2024,Supabase
NFK,Norfolk Island,Oceania,,2188,,,,,,,,,2024,Supabase
CXR,Christmas Island,Oceania,,1692,,,0,,,,,,2024,Supabase
MNG,Mongolia,Asia,,3481145,20325121394,72.27633666992188,44.18366241455078,29.963424682617188,9.608,,,,2024,Supabase
LVA,Latvia,Europe,,1883710,42779550937,8.075411796569824,6.589882850646973,7.382869243621826,77.708,,,,2024,Supabase
BRN,Brunei,Asia,,458949,15095084656,14.750836372375488,12.502692222595215,33.95487976074219,0,,,,2024,Supabase
UKR,Ukraine,Europe,,37732836,193931613894,189.36074829101562,139.32537841796875,5.93601655960083,19.733,,,,2024,Supabase
PRK,North Korea,Asia,,26418204,,79.09113311767578,62.02499771118164,3.434479236602783,63.089,,,,2024,Supabase
FIN,Finland,Europe,,5583911,295021982463,37.92491149902344,31.798999786376953,15.680033683776855,51.824,,,,2024,Supabase
AIA,Anguilla,Americas,,16010,,,0.14260700345039368,,,,,,2024,Supabase
AZE,Azerbaijan,Asia,,10153958,72428470588,51.79734420776367,42.74819564819336,5.8549299240112305,6.531,,,,2024,Supabase
